Monthly Report,
2025.12.1-2025.12.31,
Plant Name:,painel-solar-andrade-cardoso,Plant Type:,MicroINV,
Production:,824.60kWh,
- to load and battery:,824.60kWh,Self Consumption:,100.00%,
- feed into the grid:,0kWh,
Consumption:,0kWh,
- from PV and battery:,0kWh,Self Sufficiency:,0%,
- purchase from the grid:,0kWh,
Date,Production(kWh),Consumption(kWh),
2025.12.1,20.20,0,
2025.12.2,16.50,0,
2025.12.3,20.50,0,
2025.12.4,28.90,0,
2025.12.5,27.70,0,
2025.12.6,28.10,0,
2025.12.7,25.10,0,
2025.12.8,15.80,0,
2025.12.9,6.40,0,
2025.12.10,23.40,0,
2025.12.11,38.20,0,
2025.12.12,18.00,0,
2025.12.13,20.80,0,
2025.12.14,19.10,0,
2025.12.15,30.10,0,
2025.12.16,25.90,0,
2025.12.17,27.10,0,
2025.12.18,16.10,0,
2025.12.19,19.40,0,
2025.12.20,26.00,0,
2025.12.21,33.70,0,
2025.12.22,34.90,0,
2025.12.23,35.00,0,
2025.12.24,35.30,0,
2025.12.25,32.50,0,
2025.12.26,35.10,0,
2025.12.27,29.60,0,
2025.12.28,35.80,0,
2025.12.29,34.90,0,
2025.12.30,33.20,0,
2025.12.31,31.30,0,
